Reference,Whisper_Transcription,Gemini_Transcription
VỢ LỠ CÓ TẬT THẾ ANH NÊN THAY ĐỔI CÁCH TIẾP CẬN, Vợ lợi có tập thế anh nên thay đổi cách tiếp cận,"Vợ lơ có tật, thế anh nên thay đổi cách tiếp cận."
ĐỖ ĐỨC THUẦN NGUYÊN KẾ TOÁN TRƯỞNG CÔNG TY TIẾP THỊ ĐẦU TƯ, Độ đất thuần nguyên kế toán trưởng công ty tiếp thị đầu tư,"Đỗ Đắc Thuần, nguyên kế toán trưởng công ty tiếp thị đầu tư."
ÔNG NÓI CHÚNG TÔI HI VỌNG SẼ CÓ NHỮNG TIN TỨC TỐT LÀNH, Ông nói chúng tôi hy vọng sẽ có những tin tức tốt lành,Ông nói chúng tôi hy vọng sẽ có những tin tức tốt lành.
ĐÂY ĐƯỢC XEM LÀ VAI DIỄN THÀNH CÔNG NHẤT CỦA VƯƠNG TỪ TRƯỚC ĐẾN NAY, Đây được xem là vai diễn thành công nhất của Vương từ trước đến nay.,"Đây, đội xem là vai diễn thành công nhất của Vương từ trước đến nay."
VẤN ĐỀ NẢY SINH TỪ CÁI CÂU HỎI DINH CU ẤY, Vấn đề nảy sinh từ cái câu hỏi dinh cư ấy,"Vấn đề nảy sinh từ cái câu hỏi,  dinh của ấy."
CHÓNG MẶT CÒN CÓ THỂ DO TÌNH TRẠNG RỐI LOẠN NHỊP TIM NẶNG GÂY RA, Chóng mặt còn có thể do tình trạng rối loạn nhịp tim nặng gây ra,"chóng mặt còn có thể do tình trạng rối loạn nhịp tim nặng gây ra.
"
TUY NHIÊN TÔI NGHĨ CẬU TA XỨNG ĐÁNG VỚI CHỨC VÔ ĐỊCH, Tuy nhiên tôi nghĩ cậu ta xứng đáng với chức vô địch,"Tuy nhiên, tôi nghĩ cậu ta xứng đáng với chức vô địch.
"
GIỎI GÌ BÁC MÌNH ĐẺ RA KHÔNG NUÔI THÌ AI NUÔI, Giỏi thì bác mình để ra không nuôi thì ai nuôi,"Giỏi thì bác mình để ra, không nuôi thì ai nuôi?"
ĐỂ NHỮNG KHÓ KHĂN VÀ MÂU THUẪN DẦN DẦN SẼ BỊ ĐẨY LUI, Để những khó khăn và mâu thuẫn dần dần sẽ bị đẩy lui,"Để những khó khăn và mâu thuẫn dần dần sẽ bị đẩy lui.
"
TÍCH CỰC HƠN VỚI VẤN ĐỀ LIÊN QUAN ĐẾN KIỀU BÀO, Tích cực hơn với vấn đề liên quan đến kiều bào,"Tích cực hơn với vấn đề liên quan đến kiều bào.
"
THÔNG THƯỜNG ÁN KỶ LUẬT NẾU CÓ THƯỜNG BAN HÀNH VÀO CUỐI TUẦN, Thông thường án kỷ luật nếu có thường ban hành vào cuối tuần,"Thông thường, án kỷ luật nếu có thường ban hành vào cuối tuần."
MONG ANH HÃY HIỂU CHO EM EM THƯƠNG NHỚ VÀ YÊU ANH NHIỀU," Mong anh hãy hiểu cho em, em thương nhớ và yêu anh nhiều","Mong anh hãy hiểu cho em, em thương nhớ và yêu anh nhiều.
"
EM CÓ SUY NGHĨ THÊM VỀ VIỆC THAM DỰ HỘI CHỢ KHOA HỌC KHÔNG, Em có suy nghĩ thêm về việc tham dự hội trợ khoa học không?,"Em có suy nghĩ thêm về việc tham dự hội chợ khoa học không?
"
CÁC QUI ĐỊNH CỦA PHÁP LUẬT KHÔNG THỂ ĐƯỢC BAN HÀNH THEO KIỂU ĐÁNH LÉN, Các quy định của pháp luật không thể được ban hành theo kiểu đánh lén.,Các quy định của pháp luật không thể được ban hành theo kiểu đánh lén.
TỪ ĐẤY ÔNG CÀNG THÔNG CẢM SÂU SẮC TÂM TRẠNG CỦA NGUYỄN THIẾP," Từ đấy, ông càng thông cảm sâu sắc tâm trạng của Nguyễn Thiếp.",Từ đấy ông càng thông cảm sâu sắc tâm trạng của Nguyễn Thiếp.
NHƯNG RỒI CÁI TÌNH VỚI BÀ CON CỨ NẮM NÍU KHÔNG DỨT RA ĐƯỢC, Nhưng rồi cái tình với bà con cứ nắm níu không dứt ra được,"Nhưng rồi, cái tình với bà con cứ nắm níu không dứt ra được.
"
NHỮNG NGƯỜI TRẺ ẤY THẬT ĐÁNG PHÊ PHÁN ĐÁNG LÊN ÁN," Những người trẻ ấy thật đáng phê, phán, đáng lên án","Những người trẻ ấy thật đáng phê phán, đáng lên án."
SỐ ĐƠN VỊ THAM GIA HỘI CHỢ VIỆC LÀM TĂNG ĐÁNG KỂ QUA CÁC NĂM, Số đơn vị tham gia hội trợ việc làm tăng đáng kể qua các năm,Số đồng vị tham gia hội chợ việc làm tăng đáng kể qua các năm.
VỀ NGUYÊN TẮC VÀO HỌC LÀ SINH VIÊN PHẢI ĐÓNG HỌC PHÍ, Về nguyên tác vào học là sinh viên phải đóng học phí,Về nguyên tắc vào học là sinh viên phải đóng học phí.
ANH BỊ ĐẨY TỪ HÀ NỘI VÀO SÀI GÒN, Ăn bị đẩy từ Hà Nội và Sài Gòn.,"ăn bị đẩy từ Hà Nội và Sài Gòn.
"
MUỐN ĐẸP PHẢI GHÈ LÀM SAO CHO CÁC BÓ CƠ CHÂN NỔI BẬT LÊN, Muốn đẹp phải ghè làm sao cho các bó cơ chân nổi bật lên.,"Muốn đẹp phải gầy, làm sao cho các bó cơ chân nổi bật lên?"
THAY VÌ BỐN GIỜ NHƯ TRƯỚC ĐÂY, Thay vì 4 giờ như trước đây,"Thay vì 4 giờ như trước đây,"
ĐỂ RỒI CHÚNG TA KHAO KHÁT MÃI TRONG VÒNG LUÂN HỒI NHÂN GIAN, Để rồi chúng ta khao khát mãi trong vòng luân hồi nhân gian,"Để rồi chúng ta khao khát mãi trong vòng luân hồi nhân gian.
"
ÔNG CHỦ TỊCH TUYÊN BỐ NHƯ THẾ NÀO, Ông chủ tịch điên bố như thế nào?,Ông chủ tịch tuyên bố như thế nào?
CŨNG KHIẾN CHO HỌ DÈ DẶT, Cũng khiến cho họ dè dặt,cũng khiến cho họ dè dặt.
VÀ KHI CHÚNG TA SAO NHÃNG CÔNG VIỆC CỦA MÌNH, Và khi chúng ta xa nhãn công việc của mình,"Và khi chúng ta sao nhãng công việc của mình.
"
BÀ QUẢNG VẪN ĐANG BẬN RỘN, Bà Quảng vẫn đang bận rộn.,"Ba quản vẫn đang bận rộn.
"
HỢP VỚI HƯƠNG VỊ ĐẦU XUÂN, Hợp với hương vị đào sân,"Hạ với hương vị đầu xuân.
"
Y TẾ BÌNH HƯNG HÒA BỊ HƯ HỎNG, Y tế bình hương hòa bị hư hỏng,"Y tế Bình Hưng Hòa bị hư hỏng.
"
ĐIỆN THOẠI RENG NHƯNG TA CŨNG PHẢI NHẤC MÁY ĐÚNG KHÔNG, Tiện thể lên nhân ta cũng phải nhấc máy đúng không?,Đến thải ren nhân ta cũng phải nhấc máy đúng không?
RỒI CHẠY SANG GÕ CỬA PHÒNG BA LE HAI DẤM DÚI, Rồi chạy sang gõ cửa phòng 3 len 2 giấm dúi,"Rồi, chạy sang gõ cửa phòng Ba Len hai chấm duối.
"
THÁNG TRƯỚC CHỒNG VỀ MẤY NGÀY MÌNH NẰM NGỦ THẤY ẤM KINH KHỦNG, Tháng trước trọn về mấy ngày mình nằm ngủ thấy ấm kiên khủng.,tháng trước trời về mấy ngày mình nằm ngủ thấy ấm kinh khủng.
ỦY BAN CHÂU ÂU KÊU GỌI NHỮNG QUỐC GIA PHÁT TRIỂN CÒN LẠI, Ủy ban châu Âu kêu gọi những quốc gia phát triển còn lại.,Ủy ban châu Âu kêu gọi những quốc gia phát triển còn lại.
CÁC CHƯƠNG TRÌNH CA NHẠC PHẦN LỚN ĐỀU KHÔNG ĐỘT PHÁ, Các chương trình ca nhạc phần lớn đều không đột phá,Các chương trình ca nhạc phần lớn đều không đột phá.
CHÚNG CỨ CỐ LÙI LẠI MẶC DÙ VƯỚNG VÍU GÔNG XIỀNG, Chúng cứ có lội lại mặc dù bướng phiếu gong chiền,chúng cứ cố lùi lại mặc dù vướng víu gông xiềng.
KHIẾN HAI CHA CON CẬU, Khiến hai cha con cậu,"khiến hai cha con cậu.
"
CHỊ GẶN HỎI ANH THỀ SỐNG THỀ CHẾT LÀ KHÔNG CÓ, Chị gặn hỏi anh thề sống thề chết là không có.,"Chị gặn hỏi anh thề sống thề chết là không có.
"
ĐỂ TRẢ TRỞ LẠI ĐẠI DƯƠNG, để trả trở lại tại dương,để trả trở lại đại dương.
TIẾNG MÃ TẤU SẮC LẠNH CHẠM NHAU VÀ CẢ TIẾNG RÊN RỈ, Tiếng mã đấu sách lặn chạm nhau và cả tiếng lên rỉ.,tiếng mõ đối sắc lẫn chạm nhau và cả tiếng rên rỉ.
MÀY DÁM CHƠI VỢ TAO TAO PHẢI GIẾT MÀY," Mày dám chơi vợ tao, tao sẽ giết mày","Mày dám chơi vợ tao, tao sẽ giết mày.
"
HÔM NAY EM CÓ TỚI NĂM KHÁCH, Hôm nay em có tới năm khác,Hôm nay em có tới năm khách.
HẦU HẾT NANG NÀY CÓ NGUỒN GỐC TỪ GÂN CƠ CHÂN NGỖNG, Hầu hết cha này có nguồn gốc từ gân cơ chân ngỗng.,Hầu hết chan này có nguồn gốc từ gân cơ chân ngỗng.
TỐNG CỔ HẮN ĐI KHÔNG ĐƯỢC ĐỂ HẮN VÀO ĐÂY NỮA, Đông cổ hắn đi không được để hắn vào đây nữa.,"Đóng cổ, hắn đi không được để hắn vào đây nữa.
"
CHO EM GÓP MỘT VIÊN GẠCH, Cho em góp 1 viên gạt,Cho em góp một viên gạch.
ĐI KIỂM TRA LẠI BÁC SĨ KHUYÊN NÊN MỔ NỘI SOI," Đi kiểm tra lại, bác sĩ khuyên nêm mổ nổi sôi.",Đi kiểm tra lại bác sĩ khuyên nên mổ nội soi.
CÓ THỂ LÀNH LẶN MÀ KHÔNG ĐỂ LẠI VẾT SẸO, có thể là lạc mà không để lại vết xẹo.,Có thể lành lặng mà không để lại vết sẹo.
NÀNG CÓ ĐÔI MẮT TO SÂU VÀ VẦNG TRÁN RỘNG MÊNH MÔNG, Nàng có đôi mắt to sâu và bình chán rộng minh mông.,"Nè có tới mắt to sâu và bình chán rộng mênh mông.
"
LÀM ĐẸP KHÔNG ĐÚNG CÁCH, Làm đẹp không túng các,làm đẹp không tốn kém.
CŨNG THUỘC LOẠI DÀY ĐẶC NHẤT TRONG HỆ MẶT TRỜI, Cũng thuộc loại giày đặc nhất trong hệ mặt trời,Cũng thuộc lại dày đặc nhất trong hệ mặt trời.
TÔI TỰ HỎI PHẢI CHĂNG ĐÓ LÀ DO DAN CÒN QUÁ TRẺ, Tôi tự hỏi phải tranh đó là do Giang còn quá trẻ,Tôi tự hỏi phải chăng đó là do Giang còn quá trẻ.
MỖI KHI XE RÁC ĐI NGANG QUA ĐÁNH KẺNG MỚI ĐEM RA ĐỔ, Mỗi khi xe lát đi ngang qua tắn kẹt mới đem ra độ,Mỗi khi xe rác đi ngang qua tắng kẽn mới đem ra đổ.
TẤT CẢ MỌI THỨ ĐỀU KỲ LẠ MỘT CÁCH PHI THƯỜNG, Tất cả mọi thứ đều kỳ lạ một cách phi thường.,Tất cả mọi thứ đều kỳ lạ một cách phi thường.
HẮN CHƠI VỢ ANH THÌ SAO ANH KHÔNG CHƠI VỢ HẮN, Hắn chơi vợ anh thì sao ăn không chơi vợ ăn?,"Hắn chơi vợ anh, thì sao anh không chơi vợ hắn?
"
BỌN BUÔN DỰ ÁN CHẠY CHỌT BÀY RA CÁC DỰ ÁN ĐỂ KIẾM CHÁC, Bọn mua dự án chạy trọt bày ra các dự án để kiếm chép,"bỏ buông dự án chỉ chọt bày ra các dự án để kiếm chác.
"
ỔNG NÓI Ở SÀI GÒN ỔNG ĐÃ LÀM ÔNG HỘI ĐỒNG NHƯ THẾ NÀO," Ông nói ở Sài Gòn, ông đã làm ông hội đồng như thế nào?",Ổng nói ở Sài Gòn ổng đã làm ông hội đồng như thế nào?
NẾU TƯỞNG TƯỢNG BẢY TÁM NĂM NỮA," Nếu tưởng tượng 7, 8 năm nữa,",Nếu tưởng tượng 7 8 năm nữa.
CÔ CỨ NHÈ NGAY CÁI NỌNG CÁ TRÊ, Cô cứ nhè cái nọc cái chê,Cô cứ nhè cái nọng cá trê.
CÁC VỤ THAM NHŨNG VÀ BÊ BỐI KINH TẾ, Các vụ tham nhận và bê bối kinh tế,"Các vụ tham nhũng và bê bối kinh tế.
"
TRỞ NÊN THỤ ĐỘNG, trở nên thụ động.,"Trở nên thụ động.
"
CÓ HẲN MỘT LOẠT BÀI VIẾT CHUYÊN ĐỀ VỀ QUẢN TRỊ THƯƠNG HIỆU, Có hãng một lạp bài viết trên đề về quản trị thương hiệu.,"Có hẳn một loạt bài viết chuyên đề về quản trị thương hiệu.
"
MÀ PHẢI CHE CHÁI Ở TẠM BÊN HÔNG NHÀ CHA RUỘT, mà phải che cháy ở tạm bên hông nhà cha ruột,mà phải che trái ở tạm bên hông nhà cha ruột.
CHUẨN BỊ CHO NGÀY KHAI TRƯƠNG CỬA HÀNG ĐẦU TIÊN, Chuẩn bị cho ngày khai trương cửa hàng đầu tiên,Chuẩn bị cho ngày khai trương cửa hàng đầu tiên.
CHÚNG TÔI YÊU NHAU ĐƯỢC HAI NĂM THÌ GIA ĐÌNH TÔI XẢY RA CHUYỆN, Chúng tôi yêu nhau được 2 năm thì gia đình tôi xảy ra chuyện.,Chúng tôi yêu nhau được 2 năm thì gia đình tôi xảy ra chuyện.
DÃI DẦU NẮNG GIÓ TRƯỜNG SƠN, Giải dầu nắng gió trường sơn,Giải dầu nắng gió Trường Sơn.
THÔI THÌ CỨ SẮP XẾP NHƯ VẬY, Thôi thì cứ sắp xếp như vậy,"thôi thầy cứ sắp xếp như vậy.
"
NÉT MẶT HỌ KHÔNG NGỜI LÊN HẠNH PHÚC CỦA NGƯỜI MẸ, Nét mặt họ không ngời lên hạnh phúc của người mẹ,nét mặt họ không ngời lên hạnh phúc của người mẹ.
VÀNG ÓNG ĐÔI GHỆT CAO CỔ CỦA NGỰ LÂM QUÂN, Vàng ống đôi gạch cao cổ của ngự lâm quân.,"Vàng ống đôi gệt cao cổ của Ngự Lâm quân.
"
NHỮNG NGƯỜI NÀY ĐỀU ĐƯỢC ĐÀO TẠO VỀ HỘI HỌA, Những người này đều được đào tạo về hội họa.,"Những người này đều được đào tạo về hội họa.
"
ĐỪNG BAO GIỜ ĐỂ CHO BẤT KỲ AI NÓI VỚI BẠN RẰNG, Đừng bao giờ để cho bất kỳ ai nói với bạn rằng,"Đừng bao giờ để cho bất kỳ ai nói với bạn rằng,"
TÌM HUNG THỦ HIẾP DÂM BẰNG NƯỚC BỌT NẠN NHÂN, Tìm hung thủ hiếp dâm bằng nước bọt nạn nhân,Tìm hung thủ hiếp dâm bằng nước bọt nạn nhân.
THÌ CHỦ ĐẦU TƯ PHẢI TỰ PHÁ DỠ PHẦN NỘI DUNG SAI PHÉP ĐÓ, thì chủ đầu tư phải tự phá vỡ phần nội dung sai phép đó.,thì chủ đầu tư phải tự phá dỡ phần nội dung sai phép đó.
TRỌNG TÀI PHẠT THẺ ĐỎ, Trọng tài phạt thẻ đỏ,"Trọng tài phạt thẻ đỏ.
"
CHÍN MƯƠI CHÍN MƯƠI MỐT," 90, 91","90, 91,"
TÔI CÓ THỂ CĂM GIẬN ĐỦ THỨ, Tôi có thể căm nhận đủ thứ,"Tôi có thể căm giận đủ thứ.
"
LƠ LỬNG TRÊN ĐẦU LÀ NHỮNG CHIẾC BẪY ĐÁ HÀNG TRĂM KHỐI, Lơ lẫn trên đầu là những chiếc bẫy đá hàng trăm khối,lơ lửng trên đầu là những chiếc bẫy đá hàng trăm khối.
NGỤ ẤP HÒN NGANG, Ngụ ấp hòn nhan,"ngỗ ắp hòn ngang
"
MỌI THỨ ĐỀU ĐƯỢC MỔ XẺ LẠI, Mọi thứ đều được mổ xẻ lại,"mỗi thứ đều được mổ xẻ lại.
"
KHI NHÂN VIÊN CỨU HỘ CỐ GẮNG ĐƯA NÓ LÊN SÀ LAN," Khi nhân viên cứu hộ, cố gắng đưa nó lên xà lan.",Khi nhân viên cứu hộ cố gắng đưa nó lên xà lan.
GẮN LÔNG CHIM HỘT ĐÁ LÓNG LÁNH HAY BÈO DÚN TÙA LUA ĐẦY CỔ, gắn lông chim hộp đá lóng lánh hay bèo dốn tùa lua đầy cổ,"gắn lông chim, hột đá, lóng lánh hay bèo dún, tủa lưa đầy cổ."
MỘT SINH VIÊN ĐƯỢC VAY VỐN TÍN DỤNG HỌC TẬP, Một sinh viên được vây vốn tính dụng học tập.,một sinh viên được vay vốn tín dụng học tập.
ĐI BỘ LEO NÚI ĐẾN NHỪ CHÂN, Đi bộ leo núi đến Như Trân,Đi bộ leo núi đến như chân.
MÀ PHẢI CHUYỂN QUA HÌNH THỨC GIAO DỊCH, mà phải chuyển qua hình thức giao dịch.,"Mà phải chuyển qua hình thức giao dịch.
"
SẼ LÀM GIẢM TÌNH TRẠNG ÓI ỌC CỦA TRẺ, sẽ làm tình trạng ói ọc của trẻ.,sẽ làm tình trạng ói ọc của trẻ.
NẾU VÌ CHÚNG TÔI, Nếu vì chúng tôi...,nếu vì chúng tôi
NẾU BẠN VẪN CẢM THẤY TỘI LỖI, Nếu bạn vẫn cảm thấy tội lỗi,Nếu bạn vẫn cảm thấy tội lỗi.
CÁC CÔNG TY DU LỊCH PHẢI XÁC ĐỊNH, Các công ty du lịch phải xác định.,các công ty du lịch phải xác định
KHÔNG PHẢI NẮP KHUM, Không phải nắp khâm,Không phải nắp khum.
VỚI SỰ XUẤT HIỆN CỦA QUÁI THÚ VÀ RỒNG, với sự xuất hiện của quái thú và rồng.,Với sự xuất hiện của quái thú và rồng.
NĂM ĐẦU TIÊN, Năm đầu tiên,"năm đầu tiên.
"
VỚI TRÊN LÀ NÚI VÀ DƯỚI LÀ SÔNG, Với trên là núi và dưới là sông.,"Với trên là núi và dưới là sông.
"
MỘT SỐ NGƯỜI CHO RẰNG, Một số người cho rằng,Một số người cho rằng
ĐẶC ĐIỂM CỦA PHẨY TRÙNG TẢ, Đặng đếm của phẩy trùng tả,đặc điểm của phẩy trùng tả.
NỮ DIỄN VIÊN XINH ĐẸP PHẠM BĂNG BĂNG, Nữ diễn viên xinh đẹp Phạm Băng Băng,"Nữ diễn viên xinh đẹp Phạm Băng Băng.
"
THEO PHÓ CHỦ TỊCH ỦY BAN AN TOÀN GIAO THÔNG QUỐC GIA, Theo Phó Chủ tịch Quỹ ban An toàn Giao thông Quốc gia,theo Phó Chủ tịch Ủy ban An toàn Giao thông Quốc gia.
BÂY GIỜ CƯỚP NHIỀU QUÁ ĐI ĐƯỜNG CŨNG THẤY SỢ, Bây giờ cướp nhiều quá đi đường cũng thấy sợ.,"Bây giờ cướp nhiều quá, đi đường cũng thấy sợ.
"
ÍT NHẤT Ở HƠN BA MƯƠI TRƯỜNG THUỘC CÁC ĐỊA PHƯƠNG NÓI TRÊN, ít nhất ở hơn 30 trường thuộc các địa phương nối trên.,"Ít nhất ở hơn 30 trường thuộc các địa phương nói trên.
"
KIỂU NÀY CHẮC PHẢI CẮT GIẢM BIÊN CHẾ, Kiểu này chắc phải cắt giảm biên chế,"Kiểu này chắc phải cắt giảm biên chế.
"
BÁC ĐANG SUY NGHĨ GÌ THẾ, Bác đang suy nghĩ gì thế?,Tôi đang suy nghĩ về kế hoạch cho ngày mai.
BẢY MƯƠI BỐN BẢY MƯƠI LĂM," 74, 75","74, 75."
VÌ BAN ĐÊM CHỊ NGỦ KHÔNG NGON, Vì ban đêm chị ngủ không ngon,vì ban đêm chị ngủ không ngon.
BÀ CON CHÒM XÓM, Bà con chồng sớm.,Bà con chòm xóm.
MẸ ƠI CÓ MUA ĐỒ CHO CON KHÔNG, Mẹ ơi có mua đồ cho con không?,"Mẹ ơi, có mua đồ cho con không?"
ĐÂY LÀ MỨC LÃI SUẤT THẤP NHẤT QUA CÁC PHIÊN ĐẤU THẦU, Đây là mức lãi suất thấp nhất qua các phiên đấu thầu.,Đây là mức lãi suất thấp nhất qua các phiên đấu thầu.
TÔI ĐANG BẬN HỌP, Tôi đang bận hợp.,Tôi đang bận học.
CHỨ KHÔNG PHẢI TÀI NĂNG THIÊN BẨM NÀO, Chứ không phải tài năng thiên bẩm nào.,Chứ không phải tài năng thiên bẩm nào.
NÀY BÓN CHO CON THƯƠNG ĐỠ YẾU ĐAU CÒI CỌC, Này bón cho con thương đỡ yếu đau còi cọc,"Này bón cho con thương đỡ yếu đau còi cọc.
"
VAI TRÒ CỦA CHẾ ĐỘ DINH DƯỠNG, vai trò của chế độ dinh dưỡng.,Đóng vai trò quan trọng trong việc duy trì sức khỏe và tăng cường sức đề kháng.
BÊN TRONG TRÁI VẢ KHI BỔ RA SẼ RỖNG CHỨ KHÔNG ĐẶC NHƯ TRÁI SUNG, Bên trong trái vả khi bổ ra sẽ rỗng chứ không đặc như trái sung.,Bên trong trái vả khi bổ ra sẽ rỗng chứ không đặc như trái sung.
RỒI ĐI KHẮP NƠI TÌM THẦY CHỮA BỆNH CHO ANH, Rồi đi khắp nơi tìm thầy chữa bệnh cho anh.,Rồi đi khắp nơi tìm thầy chữa bệnh cho anh. Cà
GHÉP CÀNH MAI GIẢO VÀO THÂN CỔ THỤ CHO HOA CÁNH LỚN, Ghép cành mai dảo vào thân cổ thụ cho hoa cánh lớn,"Được, nhưng phải chọn cành khỏe mạnh, không bị sâu bệnh."
SƯƠNG MÙ ĐÃ ĐỌNG THÀNH NHỮNG HẠT GIÁ BĂNG, Sương mù đã động thành những hạt giá băng.,Sương mù đã động thành những hạt giá băng.
KHIẾN PHỤ HUYNH HIỂU NHẦM, Khiến phụ huynh hiểu nhầm.,"khiến phụ huynh hiểu nhầm.
"
DỌC HAI BÊN SÔNG NGÀN SÂU, Dọc hai bên sông ngàn sâu,"Dọc hai bên sông ngàn sâu.
"
CỠI NGỰA ĐI THI, Cởi ngựa đi thi.,Cỡi ngựa đi thi.
LUÔN ỔN ĐỊNH VÀ CÁC XE TRẤU KHÁ NẶNG, luôn ổn định và các xe trấu khá nặng.,"Luôn ổn định và các xe trấu khá nặng.
"
DIỄN VIÊN CHÍNH ĐỨNG NHƯ KHÚC GỖ, Diễn viên chính đứng như khúc gỗ.,Diễn viên chính đứng như khúc gỗ.
VÀ KHI HỌ VẠCH TÓC RA, Và khi họ vặt tóc ra...,"Và khi họ vạch tóc ra.
"
CỦA CHÍNH SÁCH ĐỐI VỚI QUY MÔ CỦA THỊ TRƯỜNG, của chính sách đối với quy mô của thị trường.,của chính sách đối với quy mô của thị trường.
CƯỚP ĐẦY ĐƯỜNG CÔNG AN CHỈ LO HẠCH SÁCH," Cướp đầy đường, công an chỉ lo hạch sách.","cướp đầy đường, công an chỉ lo hạch sách."
NHƯNG OÁI ĂM THAY, Nhưng oái âm thay,Nhưng oái âm thanh.
SAU CẢI CÁCH," Sau cải cách,",Sao cải cách?
VÌ BẠN CÓ THỂ LẢY CÒ TỪNG PHÁT MỘT, Vì bạn có thể lấy co từng phát 1.,Vì bạn có thể lấy cò từng phát một.
KHÔNG MỘT CHIẾC XE LẠ NÀO CÓ THỂ MON MEN VÀO ĐƯỢC, Không một chiếc xe lạ nào có thể mong men vào được.,"Không một chiếc xe lại nào có thể mon men vào được.
"
TRONG TƯ THẾ PHI NGỰA CHỒM LÊN, Trong tư thế phi ngựa chồm lên,Trong tư thế phi ngựa chồm lên.
MÀ CŨNG ĐẦY THANH KHIẾT, Mà cũng đầy thanh khiết.,"mà cũng đầy thanh khiết.
"
MỖI KHI CƠN GIÓ ĐẾN," Mỗi khi cơn gió đến,","Mỗi khi cơn gió đến, huh."
NÊN HAI MỐ CẦU BỊ SỤP ĐẤT KHIẾN LỐI ĐI BỘ QUÁ NGUY HIỂM, Nên 2 mố cầu bị sập đất khiến lối đi bộ quá nguy hiểm.,"Nên hai mố cầu bị sụp đất khiến lối đi bộ quá nguy hiểm.
"
LÀ TIẾNG TRỐNG LÂN TÙNG XÈNG VUI TAI," Là tiếng trống, lân tùng sèn vui tai.",là tiếng trống lân tùng xèng vui tai.
ÔI DÀO, Oh yeah.,oh yeah
BÁC VẪN CHƯA TRẢ TIỀN CHO TÔI ĐÂY NHÉ, Bác vẫn chưa trả tiền cho tôi đấy nhé.,"Bác vẫn chưa trả tiền cho tôi đấy nhé.
"
MỘT CHUYẾN DU LỊCH DÃ NGOẠI TẠI BÒ CẠP VÀNG, Một chuyến du lịch giả ngoại tại Bo Cạp Vàng.,Một chuyến du lịch dã ngoại tại Bò Cạp Vàng.
TRONG PHIM CÓ NHIỀU CẢNH CHÉM GIẾT, Trong phim có nhiều cảnh chém giết.,Trong phim có nhiều cảnh chém giết.
KHÔNG HIỂU SAO, Không hiểu sao?,"không hiểu sao.
"
ĐỂ CHỌN MÁY IN CHO PHÙ HỢP, Để chọn máy in cho phù hợp,"để chọn máy in cho phù hợp.
"
MỘT KẾ HOẠCH TƯƠNG TỰ ĐƯỢC ÁP DỤNG Ở ANH, Một kế hoạch tương tự được áp dụng ở Anh.,Một kế hoạch tương tự được áp dụng ở Anh.
MỘT VỤ CHẬP ĐIỆN ĐÃ KHIẾN NGỌN LỬA BÙNG LÊN, Một vụ chọc điện đã khiến ngọn lửa bùng lên.,"Một vụ chập điện đã khiến ngọn lửa bùng lên.
"
ÂM THẦM CHẮT CHIU NUÔI TÔI KHÔN LỚN, Âm thầm chắc chiêu nuôi tôi khôn lớn.,Âm thầm chắt chiu nuôi tôi khôn lớn.
CON CHÓ LỦI THỦI ĐI THEO CHỦ NÓ, Con chó lưỡi thủi đi theo chủ nó,Con chó lũi thũi đi theo chủ nó.
PHÙ HỢP CHO MỌI CÂN NẶNG, phù hợp cho mọi cân nặng.,"phù hợp cho mọi cân nặng.
"
MUỐN CÔNG NHẬN NGAY PHA BÓNG ẤY THÌ PHẢI SỬA LUẬT, Muốn công nhận ngay pha bóng ấy thì phải sửa luật,Muốn công nhận ngay pha bóng ấy thì phải sửa luật.
VÀ GIÁO DỤC CON NGƯỜI TRỞ THÀNH VIỆC LUYỆN TRÍ NHỚ, Và giáo dục con người trở thành việc luyện trí nhớ.,Và giáo dục con người trở thành việc luyện trí nhớ.
LẦN ĐẦU TIÊN MỘT NHÂN VIÊN NGƯỜI VIỆT THÁCH THỨC VIỆC TÁC NGHIỆP CỦA TÔI, Lần đầu tiên một nhân viên người Việt thất thức việc tác nghiệp của tôi.,Lần đầu tiên một nhân viên người Việt thắc mắc việc tác nghiệp của tôi.
BẢO THẰNG QUYẾT NÓ BẮT CON GÀ SỐNG NÂU MÀ THỊT, Bảo thăng thắng quyết nó bắt con gà sống nâu mà thịt.,"Báo thang thắng quyết nó bắt con gà sống, nấu mà thịt."
TRÊN MẶT AI CŨNG CÓ KHĂN TAY KHẨU TRANG CHE MIỆNG," Trên mặt ai cũng có khăn tay, khẩu trang, che miệng.",Trên mặt ai cũng có khăn tay khẩu trang che miệng.
TỐI QUA NGƯỜI TA ĐẾN BẮT TÔI GIỮA ĐÊM HÔM KHUYA KHOẮT, Tối qua người ta đến bắt tôi giữa đêm hôm khuya khoát,tối qua người ta đến bắt tôi giữa đêm hôm khuya khoắt.
NHƯNG CUỐI CÙNG CHẲNG AI CHỊU NỔI CÁI TÍNH HAM VUI CỦA TÔI, Cuối cùng chẳng ai chịu nổi cái tình ham vui của tôi.,cuối cùng chẳng ai chịu nổi cái tính ham vui của tôi.
PHÓNG SỰ ẢNH NHỮNG MÀN BIỂU DIỄN NGOẠN MỤC TRÊN BẦU TRỜI, Phóng sự ảnh những màn biểu diễn ngoạn mục trên bầu trời.,Phóng sự ảnh những màn biểu diễn ngoạn mục trên bầu trời.
