Reference,Whisper_Transcription,Gemini_Transcription,Reference_normalize,Whisper_Transcription_normalize,Gemini_Transcription_normalize,Whisper_Transcription_WER,Gemini_Transcription_WER
KHÔNG HIỂU SAO, Không hiểu sao?,"không hiểu sao.
",không hiểu sao,không hiểu sao?,không hiểu sao,0.3333,0
ĐỂ CHỌN MÁY IN CHO PHÙ HỢP, Để chọn máy in cho phù hợp,"để chọn máy in cho phù hợp.
",để chọn máy in cho phù hợp,để chọn máy in cho phù hợp,để chọn máy in cho phù hợp,0,0
MỘT KẾ HOẠCH TƯƠNG TỰ ĐƯỢC ÁP DỤNG Ở ANH, Một kế hoạch tương tự được áp dụng ở Anh.,Một kế hoạch tương tự được áp dụng ở Anh.,một kế hoạch tương tự được áp dụng ở anh,một kế hoạch tương tự được áp dụng ở anh,một kế hoạch tương tự được áp dụng ở anh,0,0
MỘT VỤ CHẬP ĐIỆN ĐÃ KHIẾN NGỌN LỬA BÙNG LÊN, Một vụ chọc điện đã khiến ngọn lửa bùng lên.,"Một vụ chập điện đã khiến ngọn lửa bùng lên.
",một vụ chập điện đã khiến ngọn lửa bùng lên,một vụ chọc điện đã khiến ngọn lửa bùng lên,một vụ chập điện đã khiến ngọn lửa bùng lên,0.1,0
ÂM THẦM CHẮT CHIU NUÔI TÔI KHÔN LỚN, Âm thầm chắc chiêu nuôi tôi khôn lớn.,Âm thầm chắt chiu nuôi tôi khôn lớn.,âm thầm chắt chiu nuôi tôi khôn lớn,âm thầm chắc chiêu nuôi tôi khôn lớn,âm thầm chắt chiu nuôi tôi khôn lớn,0.25,0
CON CHÓ LỦI THỦI ĐI THEO CHỦ NÓ, Con chó lưỡi thủi đi theo chủ nó,Con chó lũi thũi đi theo chủ nó.,con chó lủi thủi đi theo chủ nó,con chó lưỡi thủi đi theo chủ nó,con chó lũi thũi đi theo chủ nó,0.125,0.25
PHÙ HỢP CHO MỌI CÂN NẶNG, phù hợp cho mọi cân nặng.,"phù hợp cho mọi cân nặng.
",phù hợp cho mọi cân nặng,phù hợp cho mọi cân nặng,phù hợp cho mọi cân nặng,0,0
MUỐN CÔNG NHẬN NGAY PHA BÓNG ẤY THÌ PHẢI SỬA LUẬT, Muốn công nhận ngay pha bóng ấy thì phải sửa luật,Muốn công nhận ngay pha bóng ấy thì phải sửa luật.,muốn công nhận ngay pha bóng ấy thì phải sửa luật,muốn công nhận ngay pha bóng ấy thì phải sửa luật,muốn công nhận ngay pha bóng ấy thì phải sửa luật,0,0
VÀ GIÁO DỤC CON NGƯỜI TRỞ THÀNH VIỆC LUYỆN TRÍ NHỚ, Và giáo dục con người trở thành việc luyện trí nhớ.,Và giáo dục con người trở thành việc luyện trí nhớ.,và giáo dục con người trở thành việc luyện trí nhớ,và giáo dục con người trở thành việc luyện trí nhớ,và giáo dục con người trở thành việc luyện trí nhớ,0,0
LẦN ĐẦU TIÊN MỘT NHÂN VIÊN NGƯỜI VIỆT THÁCH THỨC VIỆC TÁC NGHIỆP CỦA TÔI, Lần đầu tiên một nhân viên người Việt thất thức việc tác nghiệp của tôi.,Lần đầu tiên một nhân viên người Việt thắc mắc việc tác nghiệp của tôi.,lần đầu tiên một nhân viên người việt thách thức việc tác nghiệp của tôi,lần đầu tiên một nhân viên người việt thất thức việc tác nghiệp của tôi,lần đầu tiên một nhân viên người việt thắc mắc việc tác nghiệp của tôi,0.0667,0.1333
BẢO THẰNG QUYẾT NÓ BẮT CON GÀ SỐNG NÂU MÀ THỊT, Bảo thăng thắng quyết nó bắt con gà sống nâu mà thịt.,"Báo thang thắng quyết nó bắt con gà sống, nấu mà thịt.",bảo thằng quyết nó bắt con gà sống nâu mà thịt,bảo thăng thắng quyết nó bắt con gà sống nâu mà thịt,báo thang thắng quyết nó bắt con gà sống nấu mà thịt,0.1818,0.3636
TRÊN MẶT AI CŨNG CÓ KHĂN TAY KHẨU TRANG CHE MIỆNG," Trên mặt ai cũng có khăn tay, khẩu trang, che miệng.",Trên mặt ai cũng có khăn tay khẩu trang che miệng.,trên mặt ai cũng có khăn tay khẩu trang che miệng,trên mặt ai cũng có khăn tay khẩu trang che miệng,trên mặt ai cũng có khăn tay khẩu trang che miệng,0,0
TỐI QUA NGƯỜI TA ĐẾN BẮT TÔI GIỮA ĐÊM HÔM KHUYA KHOẮT, Tối qua người ta đến bắt tôi giữa đêm hôm khuya khoát,tối qua người ta đến bắt tôi giữa đêm hôm khuya khoắt.,tối qua người ta đến bắt tôi giữa đêm hôm khuya khoắt,tối qua người ta đến bắt tôi giữa đêm hôm khuya khoát,tối qua người ta đến bắt tôi giữa đêm hôm khuya khoắt,0.0833,0
NHƯNG CUỐI CÙNG CHẲNG AI CHỊU NỔI CÁI TÍNH HAM VUI CỦA TÔI, Cuối cùng chẳng ai chịu nổi cái tình ham vui của tôi.,cuối cùng chẳng ai chịu nổi cái tính ham vui của tôi.,nhưng cuối cùng chẳng ai chịu nổi cái tính ham vui của tôi,cuối cùng chẳng ai chịu nổi cái tình ham vui của tôi,cuối cùng chẳng ai chịu nổi cái tính ham vui của tôi,0.1538,0.0769
PHÓNG SỰ ẢNH NHỮNG MÀN BIỂU DIỄN NGOẠN MỤC TRÊN BẦU TRỜI, Phóng sự ảnh những màn biểu diễn ngoạn mục trên bầu trời.,Phóng sự ảnh những màn biểu diễn ngoạn mục trên bầu trời.,phóng sự ảnh những màn biểu diễn ngoạn mục trên bầu trời,phóng sự ảnh những màn biểu diễn ngoạn mục trên bầu trời,phóng sự ảnh những màn biểu diễn ngoạn mục trên bầu trời,0,0
NHỮNG KIỂU VẾT THƯƠNG MÀ TRẺ THƯỜNG MANG THEO CÓ THỂ LÀ GÌ, Những kiểu vết thương mà trẻ thường mang theo có thể là gì?,Kiểu vết thương mà trẻ thường mang theo có thể là gì?,những kiểu vết thương mà trẻ thường mang theo có thể là gì,những kiểu vết thương mà trẻ thường mang theo có thể là gì?,kiểu vết thương mà trẻ thường mang theo có thể là gì?,0.0769,0.1538
KIỂU HÀI DUNG TỤC VẪN CỨ LỀNH KHÊNH Ở MỘT SỐ TỤ ĐIỂM, Kiểu 2 dung tục vẫn cứ lần khân ở một số tủ điểm.,Kiểu hài dung tục vẫn cứ lẩn khẩn ở một số tụ điểm.,kiểu hài dung tục vẫn cứ lềnh khênh ở một số tụ điểm,kiểu hai dung tục vẫn cứ lần khân ở một số tủ điểm,kiểu hài dung tục vẫn cứ lẩn khẩn ở một số tụ điểm,0.3077,0.1538
TRƯỚC HẾT BẠN CẦN TÌM HIỂU THÔNG TIN QUY HOẠCH KHU ĐẤT, Trước hết bạn cần tìm hiểu thông tin quy hoạch khu đất.,"Trước hết, bạn cần tìm hiểu thông tin quy hoạch khu đất.",trước hết bạn cần tìm hiểu thông tin quy hoạch khu đất,trước hết bạn cần tìm hiểu thông tin quy hoạch khu đất,trước hết bạn cần tìm hiểu thông tin quy hoạch khu đất,0,0
ĐẦU TIÊN LÀ MỘT TẤM ÂM BẢN SAU ĐÓ MỚI ĐẾN DƯƠNG BẢN, Tiên là một tấm âm bản sau đó mới đến dương bản.,"tiên là một tấm âm bản sau đó mới đến dương bản.
",đầu tiên là một tấm âm bản sau đó mới đến dương bản,tiên là một tấm âm bản sau đó mới đến dương bản,tiên là một tấm âm bản sau đó mới đến dương bản,0.0769,0.0769
LÀM ĐƯỢC HẾT KHỐI CÔNG VIỆC ẤY LÀ MỘT NỖ LỰC RẤT LỚN, Được hết khối công việc ấy là một nỗ lực rất lớn.,được hết khối công việc ấy là một nỗ lực rất lớn.,làm được hết khối công việc ấy là một nỗ lực rất lớn,được hết khối công việc ấy là một nỗ lực rất lớn,được hết khối công việc ấy là một nỗ lực rất lớn,0.0769,0.0769
TẤT NHIÊN HÓA ĐƠN TIỀN NƯỚC CŨNG KÈM LUÔN KHOẢN TIỀN, Tất nhiên hóa đơn tiền nước cũng kèm theo luôn khoản tiền.,"Tất nhiên, hóa đơn tiền nước cũng kèm theo luôn khoản tiền.",tất nhiên hóa đơn tiền nước cũng kèm luôn khoản tiền,tất nhiên hóa đơn tiền nước cũng kèm theo luôn khoản tiền,tất nhiên hóa đơn tiền nước cũng kèm theo luôn khoản tiền,0.0909,0.0909
CÀNG NGÀY MÌNH CÀNG NGHĨ NHIỀU VỀ CÔNG VIỆC GIẢNG DẠY, Càng ngày mình càng nghĩ nhiều về công việc giảng dạy.,Càng ngày mình càng nghĩ nhiều về công việc giảng dạy.,càng ngày mình càng nghĩ nhiều về công việc giảng dạy,càng ngày mình càng nghĩ nhiều về công việc giảng dạy,càng ngày mình càng nghĩ nhiều về công việc giảng dạy,0,0
SAU ĐÓ HỌ LÂN LA SANG CHƠI RỒI ĐÁNH CẮP ĐỨA BÉ, Sau đó họ lân la sang chơi rồi đánh cắp đứa bé.,Sau đó họ lân la sang chơi rồi đánh cắp đứa bé.,sau đó họ lân la sang chơi rồi đánh cắp đứa bé,sau đó họ lân la sang chơi rồi đánh cắp đứa bé,sau đó họ lân la sang chơi rồi đánh cắp đứa bé,0,0
BẠN KHÔNG BAO GIỜ RA NGOÀI MÀ KHÔNG DÙNG KEM LÓT, Bạn không bao giờ ra ngoài mà không dùng kem lót.,Bạn không bao giờ ra ngoài mà không dùng kem lót.,bạn không bao giờ ra ngoài mà không dùng kem lót,bạn không bao giờ ra ngoài mà không dùng kem lót,bạn không bao giờ ra ngoài mà không dùng kem lót,0,0
VÀI LẦN TRIỂN LÃM TRANH TƯỢNG KHÔNG LỜI NHƯ THẾ HẮN SẼ NHẬN RA, Vài lần chuyển làm chăn tượng không lời như thế Hẳn sẽ nhận ra,vài lần triển lãm tranh tượng không lời như thế hẳn sẽ nhận ra.,vài lần triển lãm tranh tượng không lời như thế hắn sẽ nhận ra,vài lần chuyển làm chăn tượng không lời như thế hẳn sẽ nhận ra,vài lần triển lãm tranh tượng không lời như thế hẳn sẽ nhận ra,0.2857,0.0714
KIỂM TRA TRUNG TÂM NÀY CÔNG AN ĐÃ BẮT GIỮ TỚI, Chụp tra trung tâm này công an đã bắt giữ tới.,kiểm tra trung tâm này công an đã bắt giữ tới.,kiểm tra trung tâm này công an đã bắt giữ tới,chụp tra trung tâm này công an đã bắt giữ tới,kiểm tra trung tâm này công an đã bắt giữ tới,0.0909,0
NGỒI NGHE TIẾNG BIỂN VÀ THƯ THẢ ĐẾM TỪNG GIỌT ĐEN RƠI, Ngồi nghe tiếng biển và thư thả đếm từng giọt đen rơi,Ngồi nghe tiếng biển và thư thả đếm từng giọt đen rơi.,ngồi nghe tiếng biển và thư thả đếm từng giọt đen rơi,ngồi nghe tiếng biển và thư thả đếm từng giọt đen rơi,ngồi nghe tiếng biển và thư thả đếm từng giọt đen rơi,0,0
VẤN ĐỀ ĐẶT RA Ở ĐÂY LÀ LÀM THẾ NÀO ĐỂ, Vấn đề đặt ra ở đây là làm thế nào để...,"Vấn đề đặt ra ở đây là làm thế nào để?
",vấn đề đặt ra ở đây là làm thế nào để,vấn đề đặt ra ở đây là làm thế nào để,vấn đề đặt ra ở đây là làm thế nào để?,0,0.0909
MỜI THAM DỰ CUỘC THI VIẾT NGẮN MỘT GIỜ KHÔNG ĐIỆN, Mời tham dự cuộc thi viết ngắn 1 giờ không điện,Mời tham dự cuộc thi viết ngắn 1 giờ không điện.,mời tham dự cuộc thi viết ngắn một giờ không điện,mời tham dự cuộc thi viết ngắn một giờ không điện,mời tham dự cuộc thi viết ngắn một giờ không điện,0,0
LÚC ĐÓ CHỊ TƯỞNG LÀM NHƯ VẬY CŨNG LÀM MÁ VUI, Lúc đó chị tưởng làm như vậy cũng làm má vui.,"Lúc đó chị tưởng làm như vậy cũng làm má vui.
",lúc đó chị tưởng làm như vậy cũng làm má vui,lúc đó chị tưởng làm như vậy cũng làm má vui,lúc đó chị tưởng làm như vậy cũng làm má vui,0,0
KHÔNG NÊN CHỈ DỰA VÀO BÀI VIẾT CỦA BẠN ĐỂ THUYẾT MINH THÊM, không nên chỉ dựa vào bài viết của bạn để thuyết minh thêm.,Không nên chỉ dựa vào bài viết của bạn để thuyết minh thêm.,không nên chỉ dựa vào bài viết của bạn để thuyết minh thêm,không nên chỉ dựa vào bài viết của bạn để thuyết minh thêm,không nên chỉ dựa vào bài viết của bạn để thuyết minh thêm,0,0
TUY NHIÊN HỢP ĐỒNG NÀY CHỈ CÓ GIÁ TRỊ TRONG NHỮNG NGÀY BÌNH THƯỜNG, Tuy nhiên hợp đồng này chỉ có giá trị trong những ngày bình thường.,Tuy nhiên hợp đồng này chỉ có giá trị trong những ngày bình thường.,tuy nhiên hợp đồng này chỉ có giá trị trong những ngày bình thường,tuy nhiên hợp đồng này chỉ có giá trị trong những ngày bình thường,tuy nhiên hợp đồng này chỉ có giá trị trong những ngày bình thường,0,0
HIỂN NHIÊN KHÔNG AI MUỐN XUẤT HIỆN BÊN CẠNH MỘT NGƯỜI NHƯ VẬY, Tự nhiên không ai muốn xuất hiện bên cạnh một người như vậy.,tự nhiên không ai muốn xuất hiện bên cạnh một người như vậy.,hiển nhiên không ai muốn xuất hiện bên cạnh một người như vậy,tự nhiên không ai muốn xuất hiện bên cạnh một người như vậy,tự nhiên không ai muốn xuất hiện bên cạnh một người như vậy,0.0769,0.0769
HÀNG CHÂN MÀY ĐEN VÀ XẾCH KHÔNG LẪN VÀO ĐÂU ĐƯỢC, Hàng chân mày đen và sắt không lẫn vào đâu được.,Hàng chân mày đen và sắc không lẫn vào đâu được.,hàng chân mày đen và xếch không lẫn vào đâu được,hàng chân mày đen và sắt không lẫn vào đâu được,hàng chân mày đen và sắc không lẫn vào đâu được,0.0909,0.0909
NGƯỜI ĂN XIN THƯA BÀ NGÀY THƯỜNG THÌ BÀ CHO GÌ CŨNG ĐƯỢC," Người ăn xin thưa bà, ngày thường thì bà cho gì cũng được.","Người ăn xin thưa bà, ngày thường thì bà cho gì cũng được.",người ăn xin thưa bà ngày thường thì bà cho gì cũng được,người ăn xin thưa bà ngày thường thì bà cho gì cũng được,người ăn xin thưa bà ngày thường thì bà cho gì cũng được,0,0
XIN VỚI MẸ CHO ĐI CAI TẬP TRUNG SAU MỘT NĂM BẠN TRỞ VỀ NHÀ, Xin với mẹ cho đi cai tập trung sau một năm bạn trở về nhà.,Xin với mẹ cho đi cai tập trung sau một năm bạn trở về nhà.,xin với mẹ cho đi cai tập trung sau một năm bạn trở về nhà,xin với mẹ cho đi cai tập trung sau một năm bạn trở về nhà,xin với mẹ cho đi cai tập trung sau một năm bạn trở về nhà,0,0
HOA PHƯỢNG VẪN NỞ ĐỎ TRỜI TRONG TIẾNG VE XAO XÁC KHÔN NGUÔI," Hoa phượng vẫn nở, trời trong tiếng ve xào xác khôn nguôi.","Hoa phượng vẫn nở, trời trong tiếng ve xào xác khôn nguôi.",hoa phượng vẫn nở đỏ trời trong tiếng ve xao xác khôn nguôi,hoa phượng vẫn nở trời trong tiếng ve xào xác khôn nguôi,hoa phượng vẫn nở trời trong tiếng ve xào xác khôn nguôi,0.1538,0.1538
ANH NHƠN BẢO TÔI VỀ TRƯỚC CÒN ANH ĐI THEO CÔ GÁI, Anh Nhơn bảo tôi về trước còn ăn đi theo cô gái.,"Anh Nhơn bảo tôi về trước, còn anh đi theo cô gái.
",anh nhơn bảo tôi về trước còn anh đi theo cô gái,anh nhơn bảo tôi về trước còn ăn đi theo cô gái,anh nhơn bảo tôi về trước còn anh đi theo cô gái,0.0833,0
CẢ NGÀY TRỜI KHÔNG NẮNG GIÓ LẠNH NÊN THƯA VẮNG DU KHÁCH, Ngày trời không nắng gió lặn nên thưa vắng du khách,ngày trời không nắng gió lặn nên thưa vắng du khách.,cả ngày trời không nắng gió lạnh nên thưa vắng du khách,ngày trời không nắng gió lặn nên thưa vắng du khách,ngày trời không nắng gió lặn nên thưa vắng du khách,0.1667,0.1667
HÌNH ẢNH QUẢNG CÁO ĐIẾU THUỐC ĐIỆN TỬ ĐƯỢC CÔNG TY T," Hình ảnh quảng cáo điếu thuốc, điện tử được công ty.",Hình ảnh quảng cáo điếu thuốc điện tử được công ty.,hình ảnh quảng cáo điếu thuốc điện tử được công ty t,hình ảnh quảng cáo điếu thuốc điện tử được công ty,hình ảnh quảng cáo điếu thuốc điện tử được công ty,0.0833,0.0833
VỊ BÁC SĨ HIỀN LÀNH ẤY CÓ NHỮNG LÝ THUYẾT TRỒNG CÂY THẬT THÚ VỊ, Vị bác sĩ hiền lành ấy có những lý thuyết trồng cây thật thú vị.,Vị bác sĩ hiền lành ấy có những lý thuyết trồng cây thật thú vị.,vị bác sĩ hiền lành ấy có những lý thuyết trồng cây thật thú vị,vị bác sĩ hiền lành ấy có những lý thuyết trồng cây thật thú vị,vị bác sĩ hiền lành ấy có những lý thuyết trồng cây thật thú vị,0,0
NGƯỜI ĐÀN ÔNG TRÊN GIƯỜNG THÌNH LÌNH RÊN LÊN MỘT TIẾNG RỒI MỞ MẮT, Người đàn ông trên giường thình linh rên lên một tiếng rồi mở mắt.,Người đàn ông trên giường thình lình rên lên một tiếng rồi mở mắt.,người đàn ông trên giường thình lình rên lên một tiếng rồi mở mắt,người đàn ông trên giường thình linh rên lên một tiếng rồi mở mắt,người đàn ông trên giường thình lình rên lên một tiếng rồi mở mắt,0.0714,0
NHỮNG SẢN PHẨM GIÚP NỞ NGỰC VÀ TAN MỠ CẤP TỐC ẢNH YẾN TRINH, Những sản phẩm giúp nở ngược và tan mở cấp tốc ảnh hiểm đến yến trinh,những sản phẩm giúp nở ngực và tan mỡ cấp tốc ảnh hưởng đến yến trinh.,những sản phẩm giúp nở ngực và tan mỡ cấp tốc ảnh yến trinh,những sản phẩm giúp nở ngược và tan mở cấp tốc ảnh hiểm đến yến trinh,những sản phẩm giúp nở ngực và tan mỡ cấp tốc ảnh hưởng đến yến trinh,0.2857,0.1429
QUẢN LÝ NHÀ NƯỚC VỀ GIAO THÔNG VẬN TẢI ĐÔ THỊ, Quản lý nhà nước về giao thông vận tải đô thị,Quản lý nhà nước về giao thông vận tải đô thị.,quản lý nhà nước về giao thông vận tải đô thị,quản lý nhà nước về giao thông vận tải đô thị,quản lý nhà nước về giao thông vận tải đô thị,0,0
MẤY NGÀY NAY CHÚNG TÔI ĐÃ TỊCH THU ĐƯỢC KHÁ NHIỀU GÀ CHẾT, Ngày nay chúng tôi đã tịch thu được khá nhiều gà chết.,Ngày nay chúng tôi đã tịch thu được khá nhiều gà chết.,mấy ngày nay chúng tôi đã tịch thu được khá nhiều gà chết,ngày nay chúng tôi đã tịch thu được khá nhiều gà chết,ngày nay chúng tôi đã tịch thu được khá nhiều gà chết,0.0769,0.0769
MỘT ĐƯỜNG HƯỚNG CHUYÊN NGHIỆP, Một đường hướng chuyên nghiệp,một đường hướng chuyên nghiệp.,một đường hướng chuyên nghiệp,một đường hướng chuyên nghiệp,một đường hướng chuyên nghiệp,0,0
NHƯNG NHIỀU DU KHÁCH THẤY THẤT VỌNG KHI LÊN ĐẾN NƠI, nhưng nhiều du khách vẫn thấy thất vọng khi lên đến nơi.,Nhưng nhiều du khách vẫn thấy thất vọng khi lên đến nơi.,nhưng nhiều du khách thấy thất vọng khi lên đến nơi,nhưng nhiều du khách vẫn thấy thất vọng khi lên đến nơi,nhưng nhiều du khách vẫn thấy thất vọng khi lên đến nơi,0.0909,0.0909
CHÚC BẠN ĐỌC CÓ THẬT NHIỀU THỜI GIAN THƯ GIÃN THOẢI MÁI, Hãy subscribe cho kênh Ghiền Mì Gõ Để không bỏ lỡ những video hấp dẫn,"Bạn đọc có thật nhiều thời gian thư giãn thoải mái.
",chúc bạn đọc có thật nhiều thời gian thư giãn thoải mái,hãy subscribe cho kênh ghiền mì gõ để không bỏ lỡ những video hấp dẫn,bạn đọc có thật nhiều thời gian thư giãn thoải mái,1.25,0.0833
TÁM MƯƠI SÁU TÁM MƯƠI BẢY," 86, 87","86, 87.
",tám mươi sáu tám mươi bảy,tám mươi sáu tám mươi bảy,tám mươi sáu tám mươi bảy,0,0
RỒI KHỀ KHÀ ĐÔI CÂU VỌNG CỔ VỚI CHÂN CHUỘT, Rồi khề khà đôi câu vọng cổ với chân chuột.,"Rồi khề khà đôi câu vọng cổ với chân chuột.
",rồi khề khà đôi câu vọng cổ với chân chuột,rồi khề khà đôi câu vọng cổ với chân chuột,rồi khề khà đôi câu vọng cổ với chân chuột,0,0
MỘT TRĂM MỘT HAI BA," Một trăm, một, hai, ba.",101 123.,một trăm một hai ba,một trăm một hai ba,một trăm linh một một trăm hai mươi ba,0,0.8
DÙ LÀ ĐẬU SỨC MẠNH HOẶC CẢI BÔNG KHỦNG LONG, Dù là đầu sức mạnh hoặc kẻ bông khủng long,Dù là đậu sức mạnh hoặc kẻ bông khủng long.,dù là đậu sức mạnh hoặc cải bông khủng long,dù là đầu sức mạnh hoặc kẻ bông khủng long,dù là đậu sức mạnh hoặc kẻ bông khủng long,0.2,0.1
PHÍ CHUYỂN GIAO CÔNG NGHỆ LÀ BA CHỤC NGÀN ĐỒNG, Phí chuyển giao công nghệ là 30.000 đồng.,"Phí chuyển giao công nghệ là 30.000 đồng.
",phí chuyển giao công nghệ là ba chục ngàn đồng,phí chuyển giao công nghệ là ba mươi nghìn  đồng,phí chuyển giao công nghệ là ba mươi nghìn  đồng,0.2,0.2
BA MƯƠI BA MƯƠI MỐT,3031,30 31,ba mươi ba mươi mốt,ba nghìn không trăm ba mươi mốt,ba mươi ba mươi mốt,0.6,0
NÓI TRƯỚC BƯỚC KHÔNG QUA, Nói trước bước không qua.,"Nói trước bước không qua.
",nói trước bước không qua,nói trước bước không qua,nói trước bước không qua,0,0
ĐƠN GIẢN LÀ TÁN GẪU VỚI NHAU, Đơn giản là tán gỗ với nhau.,"Đơn giản là tán gẫu với nhau.
",đơn giản là tán gẫu với nhau,đơn giản là tán gỗ với nhau,đơn giản là tán gẫu với nhau,0.1429,0
LÀM CÔ NÀNG RỌ RẠY THỨC TRẮNG CẢ ĐÊM, Làm cô nàng rõ rây thức trắng cả đêm,"Làm cô nàng rõ rây thức trắng cả đêm.
",làm cô nàng rọ rạy thức trắng cả đêm,làm cô nàng rõ rây thức trắng cả đêm,làm cô nàng rõ rây thức trắng cả đêm,0.2222,0.2222
MÀ BẠN CÓ THỂ THAM KHẢO ĐỂ LÀM ĐẸP GIAN BẾP, mà bạn có thể tham khảo để làm đẹp giang bếp.,"Mà bạn có thể tham khảo để làm đẹp gian bếp.
",mà bạn có thể tham khảo để làm đẹp gian bếp,mà bạn có thể tham khảo để làm đẹp giang bếp,mà bạn có thể tham khảo để làm đẹp gian bếp,0.0909,0
CÔ ẤY ĐÃ QUÁ CHÉN, Cô ấy đã quá chén.,Cô ấy đã quá chén.,cô ấy đã quá chén,cô ấy đã quá chén,cô ấy đã quá chén,0,0
NHỮNG NGƯỜI TRÊN GHE CỦA CÔNG AN ĐÃ NHẮM THẲNG VÀO GHE ANH CHỦ, Những người trên ghe của công an đã nhắm hẳn vào ghe anh chủ,"Những người trên ghe của công an đã nhắm thẳng vào ghe anh chủ.
",những người trên ghe của công an đã nhắm thẳng vào ghe anh chủ,những người trên ghe của công an đã nhắm hẳn vào ghe anh chủ,những người trên ghe của công an đã nhắm thẳng vào ghe anh chủ,0.0714,0
MÀ DO LỐI SỐNG CHUI NHỦI CỦA CHÚNG, Mà do lối sóng chui nhũi của chúng,"Mà do lối sống chui nhủi của chúng.
",mà do lối sống chui nhủi của chúng,mà do lối sóng chui nhũi của chúng,mà do lối sống chui nhủi của chúng,0.25,0
SỐ KHÁC SUY ĐOÁN RẰNG ANH TA HÀNH ĐỘNG ÁC TÂM VẬY, Số khác suy đoán rằng anh ta hành động ác tâm vậy,Số khác suy đoán rằng anh ta hành động ác tâm vậy.,số khác suy đoán rằng anh ta hành động ác tâm vậy,số khác suy đoán rằng anh ta hành động ác tâm vậy,số khác suy đoán rằng anh ta hành động ác tâm vậy,0,0
HOẶC BẠN SẼ ĐẾN ĐẤY VỚI MỘT TÂM TRẠNG CHÁN NGÁN VÔ CÙNG, Hoặc bạn sẽ đến đây với một tâm trạng chán ngán vô cùng.,hoặc bạn sẽ đến đấy với một tâm trạng chán ngán vô cùng.,hoặc bạn sẽ đến đấy với một tâm trạng chán ngán vô cùng,hoặc bạn sẽ đến đây với một tâm trạng chán ngán vô cùng,hoặc bạn sẽ đến đấy với một tâm trạng chán ngán vô cùng,0.0769,0
CÁC EM NHỎ SẼ KHÔNG CÒN PHẢI ĐI TRÊN NHỮNG CHUYẾN ĐÒ NGUY HIỂM, Các em nhỏ sẽ không còn phải đi trên những chiến đo nguy hiểm.,Các em nhỏ sẽ không còn phải đi trên những chuyến đò nguy hiểm.,các em nhỏ sẽ không còn phải đi trên những chuyến đò nguy hiểm,các em nhỏ sẽ không còn phải đi trên những chiến đo nguy hiểm,các em nhỏ sẽ không còn phải đi trên những chuyến đò nguy hiểm,0.1429,0
GIẢI QUYẾT KHỐI UNG NHỌT NÀY PHẢI CẦN ĐẾN MỘT CUỘC ĐẠI PHẪU NGHIÊM TÚC, Giải quyết khối ung nhọt này phải cần đến một cuộc đại phẫu nghiêm túc.,Giải quyết khối u nhọt này phải cần đến một cuộc đại phẫu nghiêm túc.,giải quyết khối ung nhọt này phải cần đến một cuộc đại phẫu nghiêm túc,giải quyết khối ung nhọt này phải cần đến một cuộc đại phẫu nghiêm túc,giải quyết khối u nhọt này phải cần đến một cuộc đại phẫu nghiêm túc,0,0.0667
CÔNG TY TRÁCH NHIỆM HỮU HẠN ĂN UỐNG, Công ty trách nhiệm hữu hạn ăn uống,Công ty trách nhiệm hữu hạn ăn uống.,công ty trách nhiệm hữu hạn ăn uống,công ty trách nhiệm hữu hạn ăn uống,công ty trách nhiệm hữu hạn ăn uống,0,0
CÁI VỊ CHÁT CHÁT VÀ ĐẮNG NGẮT CỦA CÀ PHÊ NGUYÊN CHẤT, Cái vị chát chát và đắng ngắt của cà phê nguyên chất.,"Cái vị chát chát và đắng ngắt của cà phê nguyên chất.
",cái vị chát chát và đắng ngắt của cà phê nguyên chất,cái vị chát chát và đắng ngắt của cà phê nguyên chất,cái vị chát chát và đắng ngắt của cà phê nguyên chất,0,0
ĐANG HẤP DẪN CÁC TẬP ĐOÀN PHÂN PHỐI ĐA QUỐC GIA, đang hấp dẫn các tập đoàn phân phối đa quốc gia.,Đang hấp dẫn các tập đoàn phân phối đa quốc gia.,đang hấp dẫn các tập đoàn phân phối đa quốc gia,đang hấp dẫn các tập đoàn phân phối đa quốc gia,đang hấp dẫn các tập đoàn phân phối đa quốc gia,0,0
NĂM MƯƠI NĂM MƯƠI MỐT, 50-51,50 51,năm mươi năm mươi mốt,năm mươi-năm mươi mốt,năm mươi năm mươi mốt,0.4,0
TÁM MƯƠI TÁM TÁM MƯƠI CHÍN," 88, 89","88 89.
",tám mươi tám tám mươi chín,tám mươi tám tám mươi chín,tám mươi tám tám mươi chín,0,0
LƯƠNG BA CỌC BA ĐỒNG THÌ NUÔI ĐƯỢC AI, Lương 3 cộng 3 đồng thì nuôi được ai?,"Lương ba cọc ba đồng thì nuôi được ai?
",lương ba cọc ba đồng thì nuôi được ai,lương ba cộng ba đồng thì nuôi được ai?,lương ba cọc ba đồng thì nuôi được ai?,0.2222,0.1111
ĐÔI MÔI MẸ PHAI SON MẤP MÁY MỘT LỜI CA HOANG HOẢI, Đôi môi mẹ phai son mắp máy một lời ca hoang hoãi,Đôi môi mẹ phai son mấp máy một lời ca hoang hoải.,đôi môi mẹ phai son mấp máy một lời ca hoang hoải,đôi môi mẹ phai son mắp máy một lời ca hoang hoãi,đôi môi mẹ phai son mấp máy một lời ca hoang hoải,0.1667,0
LÀM KHUNG, Làm khung.,làm khung,làm khung,làm khung,làm khung,0,0
